ARS_SUBJECT,CODE_STATUS,CODE_LEVEL,ID
devices containing tritium mixtures,ACTIVE,1,8885b660-7eb4-448d-aca0-760203d385c7
devices for initiating explosives,ACTIVE,1,cf389da7-f5d9-49b6-8bc8-eaa2825cd22c
diffusion bonding equipment,ACTIVE,1,db9bb649-1a1a-4d7a-ba64-1f5692699c54
diffusion bonding tools,ACTIVE,1,f43ee5a1-c622-4f3b-825d-cc32ffc93553
digital computers,ACTIVE,1,6c70bbdf-a22b-46b5-b2f3-6d980cddbf16
digital forensics equipment,ACTIVE,0,39fd2256-2b9b-460b-85dd-f6a4f90d5437
digital forensics software,ACTIVE,0,b7b50c95-5bb6-4ca7-b8e2-376973973246
digital recorder systems,ACTIVE,1,c8e94887-5e38-4fa3-91d3-0e5acd057f4a
digital signal processing equipment,ACTIVE,1,1b70dafd-54b6-4930-8505-9eda1dba60eb
dimensional inspection equipment,ACTIVE,1,84c3778f-433a-4cb0-86a2-1013732f0b12
dimensional measuring equipment,ACTIVE,1,c6804000-7a4f-4d0a-a4e7-2dae31d53fab
direct view imaging equipment,ACTIVE,1,c889bce6-d310-45ba-92f4-1c4a261a7107
directed energy weapon detection/identification/defence equipment,ACTIVE,1,55cb0284-c8b5-46ef-8ff7-4798ca91f4bb
directed energy weapon/detection identification/defence equipment,ACTIVE,1,9ed9c74d-4406-42c8-af2f-4a1b35a41c3e
display equipment,ACTIVE,1,ae51b6c8-35f5-44e4-8aed-d102c2d0619a
diver deterrent acoustic systems,ACTIVE,1,21dee30c-6938-46cb-9526-6caa6361ae7e
diver location sonars,ACTIVE,1,83e02430-0c9b-4032-ba54-3204efb7c7bb
drilling/mining equipment,ACTIVE,1,e11b0e28-564b-4c11-889a-541b44f292f2
drying equipment,ACTIVE,1,b0935c49-b10a-495f-b390-25bc305e8413
duplex stainless steel,ACTIVE,1,87bf559c-9995-4b83-9e0d-7cbe56fa6f4f
dye production,ACTIVE,1,efa570fd-7274-47b0-85b0-0e7e315e86a3
eftuo submersible vehicles,ACTIVE,1,2c6d01bc-0b73-47ab-ae18-6626f021125b
electric motors,ACTIVE,1,7cad55be-9c15-4f70-b1e4-e971e038b3aa
electric shock belts,ACTIVE,1,6acbb48a-48c2-4568-b54f-0e26fe0c2395
electric-shock devices,ACTIVE,1,304f6961-d110-4575-b83c-b5fe44d23f6b
electrical connectors,ACTIVE,1,f17280fd-d949-4527-941b-4acfc7f84e73
electrical installation items,ACTIVE,1,a478677f-d398-4e58-a0d8-442925eea86e
electrical switching equipment,ACTIVE,1,f7c7b09a-bae6-4af2-aa3c-536e8c33d84d
electrical test equipment,ACTIVE,1,3e3ce203-a395-4236-9bb7-267a8167df21
electro-statically powered explosives detection equipment,ACTIVE,1,35e9e0cf-a25f-42d0-80ac-73100f200560
electrolytic cells for fluorine production,ACTIVE,1,42f3f5f0-2bf9-490f-b954-1e1ef018e16c
electromagnetic isotope separators,ACTIVE,1,60c80dc5-4e52-4e6c-aae0-6bb39ded6802
electromagnetic wave absorbing materials,ACTIVE,1,f9eee67e-f828-4d83-86cd-d6c084e1a75a
electron beam guns,ACTIVE,1,afbf5034-9ec7-4f9c-b720-e6ab8c46bd69
electron microscopes,ACTIVE,1,6303db2d-3c9a-4c3a-bd55-c8fe0c2835d9
electronic components,ACTIVE,1,7e769927-fe22-4f92-8575-22e6527cee3a
